,Startup Name,Founder(s),Funding Year,Funding Month,Funding Day,Founding Date,Industry/Vertical,Funding Date,Sub-Vertical,City,Investor(s),Investment Amount (USD),Investment Type,Remarks
1849,Mindyourfleet,,2017,02,08,,Technology,08/02/2017,Car Rental Software Solutions,Noida,"Japan Vyas, Tarun Adlakha",0,,
1850,Edurev,,2017,02,08,,Consumer Internet,08/02/2017,Online Education Portal,Gurgaon,Facebook Fb Start Programme,40000,Early stage,
1851,Inshorts,,2017,02,08,,Technology,08/02/2017,Mobile News Curation App,Noida,Tiger Global,0,,
1852,Voonik,,2017,02,09,,E-commerce,09/02/2017,Women Apparel & Lifestyle Etailer,Bangalore,"Rb Investments, Sequoia Capital",0,,
1853,1Crowd,,2017,02,09,,Fintech,09/02/2017,Startup Crowd-Funding Platform,Greater Mumbai,Ganesh Natarajan,0,,
1854,Wooplr,,2017,02,09,,E-commerce,09/02/2017,Women Fashion Portal,Bangalore,"Sistema Asia Fund, Amereus Group, Helion Ventures",8000000,Other,
1855,48East,,2017,02,10,,E-commerce,10/02/2017,Online Food Delivery Platform,Bangalore,Al Dhaheri Family,500000,Other,
1856,Redesyn,,2017,02,10,,Consumer Internet,10/02/2017,Tech Enabler For Artists,Greater Mumbai,Thinqbate,0,,
1857,Sigtuple,,2017,02,13,,Technology,13/02/2017,Medical Automation Platform,Bangalore,"Accel Partners, Idg Ventures, Endiya Partners, Pi Ventures, Vh Capital, Axilor Partners",5800000,Other,
1858,Flutura,,2017,02,13,,Technology,13/02/2017,Decision Sciences Analytics Solutions,Bangalore,"Vertex Ventures, Lumis Partners",7500000,Other,
1859,Wassup,,2017,02,13,,Consumer Internet,13/02/2017,On Demand Laundry & Dry Cleaning Services,Chennai,Anil Jain & Other Hnis,3200000,Other,
1860,Better Mortgage,,2017,02,13,,Consumer Internet,13/02/2017,Mortgage Offering Platform,Gurgaon,"Kleiner Perkins, Goldman Sachs, Pine Brook",15000000,Other,
1861,Nurturey,,2017,02,13,,Consumer Internet,13/02/2017,Parenting Mobile App,New Delhi,Mohit Joshi & Others,330000,Early stage,
1862,Gobumpr,,2017,02,14,,Consumer Internet,14/02/2017,Online Bike & Car Services Provider,Chennai,"Mahalingam K, Girish Mathrubootham",300000,Early stage,
1863,Ccavenue,,2017,02,14,,Consumer Internet,14/02/2017,Online Payment Gateway,Greater Mumbai,Infibeam,22400000,Other,
1864,Connaizen,,2017,02,14,,Technology,14/02/2017,Data Analytics Platform,New Delhi,Vikram Sud,0,,
1865,Innov8,,2017,02,15,,Consumer Internet,15/02/2017,Co-Working Space Platform,New Delhi,"Vijay Shekhar Sharma, Rajan Anandan, Kunal Shah, Girish Mathrubootham, Punit Soni, Anand Chandrasekaran, Sunil Kalra, Utsav Somani, Vishal Gondal, Vikram Limaye",0,,
1866,Zestmoney,,2017,02,15,,Consumer Internet,15/02/2017,Online Consumer Lending Platform,Bangalore,"Payu, Ribbit Capital, Omidyar Network",6500000,Other,
1867,Airzaar,,2017,02,15,,Technology,15/02/2017,Drone Operations Management Platform,,Quake Capital,350000,Early stage,
1868,Truebil,,2017,02,16,,Consumer Internet,16/02/2017,Online Marketplace For Used Cars,Greater Mumbai,Shunwei Capital,3000000,Other,
1869,Yourstory,,2017,02,16,,Consumer Internet,16/02/2017,Online Media,Bangalore,"Kalaari Capital Partners, Qualcomm, 3One4 Capital Advisors, Uc-Rnt",3000000,Other,
1870,Imaginate,,2017,02,17,,Technology,17/02/2017,Ar & Vr Platform,Greater Hyderabad ,Sri Capital,500000,Early stage,
1871,The Ken,,2017,02,17,,Consumer Internet,17/02/2017,Online Media Platform,Bangalore,"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma & Others",400000,Early stage,
1872,Urban Ladder,,2017,02,17,,E-commerce,17/02/2017,Online Furniture Store,Bangalore,"Kalaari Capital, Saif Partners, Steadview Capital, Sequoia Capital",15200000,Other,
1873,Aisle,,2017,02,17,,Consumer Internet,17/02/2017,Online Match-Making App,Bangalore,"Konglo Ventures, White Unicorn Ventures, Letsventure",0,,
1874,Townscript,,2017,02,17,,Consumer Internet,17/02/2017,Diy Event Registration And Ticketing Portal,Pune,Bookmyshow,0,,
1875,Leopetra,,2017,02,17,,E-commerce,17/02/2017,Solution Provider For Pet Needs,Greater Mumbai,Facebook Fbstart,40000,Early stage,
1876,Blood N Care,,2017,02,18,,Consumer Internet,18/02/2017,First Aid Care App,Gurgaon,Facebook Fbstart,40000,Early stage,
1877,Flipkart,,2017,02,20,,E-commerce,20/02/2017,Online Marketplace,Bangalore,"Bennett, Coleman And Co. Ltd (Bccl)",38700000,Other,
1878,True Balance,,2017,02,21,,Consumer Internet,21/02/2017,Mobile Balance Checking App,Gurgaon,"Softbank Ventures Korea, Imm Investment",15000000,Other,
1879,Vebbler,,2017,02,22,,Consumer Internet,22/02/2017,Photo Sharing For Groups,Bangalore,Facebook Fbstart,40000,Early stage,
1880,Get My Parking,,2017,02,23,,Consumer Internet,23/02/2017,Smart Parking Platform,New Delhi,"Indian Angel Network (Ian), Beenext, The Chennai Angels, Sunil Munjal",1100000,Other,
1881,Lets Reap,,2017,02,23,,Consumer Internet,23/02/2017,B2B Mobile App For Pharmacies,Greater Mumbai,"Kunal Shah, Sandeep Tandon, Nitin Saluja, Gagan Goyal",0,,
1882,Oglas,,2017,02,24,,Consumer Internet,24/02/2017,Mobile Advertising App,Noida,"Pankaj Rungta, Yogesh Agarwal",0,,
1883,Staydobe,,2017,02,27,,Consumer Internet,27/02/2017,Co-Living Spaces Aggregator,Bangalore,Ishan Manaktala,0,,
1884,Biryani By Kilo,,2017,02,27,,Consumer Internet,27/02/2017,Online Food Ordering & Delivery Portal,Gurgaon,"Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh & Others",375000,Early stage,
1885,Johari Shop,,2017,02,27,,E-commerce,27/02/2017,Online Jewellery Etailer,Bangalore,Undisclosed Investors,94000,Early stage,
1886,Neostencil,,2017,02,28,,Consumer Internet,28/02/2017,Live Online Coaching Classes,New Delhi,"Brand Capital, Paragon Trust",1000000,Other,
1887,Blackbuck,,2017,02,28,,Logistics & Supply Chain,28/02/2017,Online Freight Aggregator,Bangalore,"Sands Capital, Ifc, Accel Partners, Flipkart, Sanjiv Rangrass",70000000,Other,
1888,Ola,,2017,03,01,,Consumer Internet,01/03/2017,App Based Cab Aggregator,Bangalore,Softbank Group Corp,330000000,Other,
1889,Belong,,2017,03,01,,Consumer Internet,01/03/2017,Online Jon Portal,Bangalore,Sequoia Capital India,10000000,Other,
1890,Seenit,,2017,03,01,,Consumer Internet,01/03/2017,Ai Based Fashion Search Portal,Kolkata,"Calcutta Angels Network (Can), Augment Ventures",0,,
1891,Paalak,,2017,03,01,,E-commerce,01/03/2017,Fresh Produce Selling Portal,New Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, Ln Buddharaju, Anupam Tyagi",0,,
1892,Celes Care,,2017,03,02,,Consumer Internet,02/03/2017,Women Healthcare & Information Portal,Greater Hyderabad ,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",1500000,Other,
1893,Karomi,,2017,03,02,,Technology,02/03/2017,Packaging Artwork Management Software,Chennai,Ideaspring Capital,500000,Early stage,
1894,Red Carpet,,2017,03,02,,Consumer Internet,02/03/2017,Micro Lending Platform,Gurgaon,Lightspeed Venture Partners,2500000,Other,
1895,Kreate Konnect,,2017,03,02,,Technology,02/03/2017,End-To-End Seller E-Commerce Solutions Provider,Vadodara,Langoor,0,,
1896,Creditmantri,,2017,03,02,,Consumer Internet,02/03/2017,Online Credit Score & Lending Platform,Chennai,Quona Capital,7600000,Other,
1897,Lets Endorse,,2017,03,03,,Consumer Internet,03/03/2017,Online Ecosystem Of Social Innovators,Bangalore,"Chandigarh Angels Network, Social Alpha And Other Unnamed Angel Investors",0,,
1898,Tydy,,2017,03,03,,Technology,03/03/2017,Employee Onboarding And Engagement Platform,Bangalore,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",275000,Early stage,
1899,Nactus,,2017,03,03,,Consumer Internet,03/03/2017,Professional Tutors Discovery & Booking Mobile App,Jaipur,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar",0,,
1900,Oho Shop,,2017,03,03,,Technology,03/03/2017,Ecommerce Mobile App Builder,Ahmedabad,"Bennett, Coleman And Company Ltd",6700000,Other,
1901,Emojifi,,2017,03,03,,Consumer Internet,03/03/2017,Mobile App For Live Emoji,Greater Hyderabad ,Undisclosed Angel Investors,0,,
1902,Paytm Marketplace,,2017,03,03,,E-commerce,03/03/2017,Ecommerce Marketplace,Bangalore,Alibaba,200000000,Other,
1903,Igenetics,,2017,03,04,,Health & Fitness,04/03/2017,Health Diagnostic Solutions,Greater Mumbai,Cdc Group Plc,19500000,Other,
1904,Juno Clinic,,2017,03,06,,Consumer Internet,06/03/2017,Online Counseling Platform,Greater Mumbai,Atul Nishar,1200000,Early stage,
1905,Summerlabel,,2017,03,06,,Consumer Internet,06/03/2017,Fashion And Lifestyle Discovery Platform,Gurgaon,"Aneesh Seth, Tushar Mittal",150000,Early stage,
1906,Pickme,,2017,03,06,,Consumer Internet,06/03/2017,Gadget Insurance & Repair Services Platform,Greater Mumbai,Sidbi Venture Capital Fund,1790000,Other,
1907,Agrostar,,2017,03,07,,Technology,07/03/2017,Direct-To-Farmer Mobile-Based Retail Platform,Pune,Accel Partners,10000000,Other,
1908,Zapr,,2017,03,07,,Technology,07/03/2017,"Dsp, Tv Analytics & Cross-Platform Advertising",Bangalore,Star India Pvt Ltd,10000000,Other,
1909,Book Servicing,,2017,03,07,,Consumer Internet,07/03/2017,Online Vehicle Services Booking Platform,New Delhi,National Science And Technology Entrepreneurship Development Board,30000,Early stage,
1910,Blowhorn,,2017,03,07,,Consumer Internet,07/03/2017,Intra-City Logistics Provider,Bangalore,"Idg Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",3650000,Other,
1911,Rivigo,,2017,03,08,,Logistics & Supply Chain,08/03/2017,Technology Enabled Logistics Company,Gurgaon,Private Sector Banks (Debt Funding),0,,
1912,Pipecandy,,2017,03,08,,Technology,08/03/2017,Intelligent Sales Prospecting Platform,Chennai,"Idg Ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",1100000,Early stage,
1913,Supr Daily,,2017,03,08,,Consumer Internet,08/03/2017,Subscription Based Home Delivery Platform,Greater Mumbai,Y Combinator,120000,Early stage,
1914,Parentune,,2017,03,08,,Consumer Internet,08/03/2017,Online Community For Parents,Gurgaon,"Kae Capital, Segnel Ventures",0,,
1915,Appbrowzer,,2017,03,09,,Consumer Internet,09/03/2017,Instant Mobile Apps Store,Bangalore,Deepak Gurnani,500000,Early stage,
1916,Magicbricks,,2017,03,09,,Consumer Internet,09/03/2017,Online Real Estate Portal,Greater Mumbai,Times Internet Ltd,4500000,Other,
1917,Peebuddy,,2017,03,10,,Health & Fitness,10/03/2017,Female Hygiene Product Manufacturer,New Delhi,Indian Angel Network,443000,Early stage,
1918,Iorderfresh,,2017,03,10,,E-commerce,10/03/2017,Online Fresh Fruits And Grocery Store,New Delhi,Singapore Angel Network,0,,
1919,Lavelle Networks,,2017,03,10,,Technology,10/03/2017,Sdn Solutions,Bangalore,Ideaspring Capital,600000,Early stage,
1920,Propertyshare,,2017,03,10,,Consumer Internet,10/03/2017,Fractional Proerty Ownership & Rental Platform,Bangalore,"Asuka, Pravega Ventures, Beenext",0,,
1921,Mydermacy,,2017,03,14,,Consumer Internet,14/03/2017,Online Dermatology Consultation Platform,New Delhi,Cyber Carrier,0,,
1922,Latestone,,2017,03,15,,E-commerce,15/03/2017,Tech Accessories E-Tailer,Greater Hyderabad ,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth",3350000,Other,
1923,Frapperz,,2017,03,15,,Consumer Internet,15/03/2017,On-Demand Home Services Provider,Kolkata,Undisclosed Investor,100000,Early stage,
1924,Mpaani,,2017,03,16,,Consumer Internet,16/03/2017,Loyalty Rewards App,Greater Mumbai,"Idg Ventures, Blume Ventures, Saha Fund,",1350000,Other,
1925,Shilpmis,,2017,03,16,,Technology,16/03/2017,Virtual Reality Platform,Surat,"Puneet Gupta, Nimitt Desai & Others",0,,
1926,Popxo,,2017,03,16,,Consumer Internet,16/03/2017,Digital Media Publication For Women,New Delhi,"Gree Ventures, Kalaari Capital And Idg Ventures India, Summit Media, Atul Goel, And Gurpreet Singh",3100000,Other,
1927,Fitso,,2017,03,16,,Consumer Internet,16/03/2017,Fitness Mobile App,Gurgaon,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",200000,Early stage,
1928,Farmart,,2017,03,17,,Technology,17/03/2017,Farming Rental Equipment Provider,Gurgaon,Indian Angel Network,0,,
1929,Flipkart,,2017,03,21,,E-commerce,21/03/2017,Ecommerce Marketplace,Bangalore,"Microsoft, Ebay, Tencent Holdings",1400000000,Other,
1930,Airpay,,2017,03,21,,Technology,21/03/2017,Online Payment Gateway,Greater Mumbai,"Kalaari Capital, Rakesh And Rajesh Jhunjhunwala",3670000,Other,
1931,Myglamm,,2017,03,21,,Consumer Internet,21/03/2017,On-Demand Beauty Services,Greater Mumbai,L’Occitane,5300000,Other,
1932,The Mons Co.,,2017,03,22,,E-commerce,22/03/2017,Pregnancy & Baby Care Etailer,New Delhi,"Shripad Nadkarni, Nandu Nandkishore",0,,
1933,Haqdarshak,,2017,03,22,,Consumer Internet,22/03/2017,Tech-Enabled Social Enterprise,Bangalore,"Ravi Saxena, Sandeep Raju,",191000,Early stage,
1934,Ixigo,,2017,03,23,,Consumer Internet,23/03/2017,Online Travel Search Engine,Gurgaon,"Sequoia Capital, Kinzon Capital",15000000,Other,
1935,Markets And Markets,,2017,03,23,,Technology,23/03/2017,Marketing Research Company,Pune,"Ftv Capital, Zodius Capital",56000000,Other,
1936,Bizom,,2017,03,24,,Technology,24/03/2017,Supply Chain Automation Platform,Bangalore,Ojas Ventures,382000,Early stage,
1937,Babyonboard,,2017,03,24,,Consumer Internet,24/03/2017,Parenting Mobile App,Bangalore,"Mahavir Sharma, Vishal Jain, Rohit Sethi, Gaurav Luniya",0,,
1938,Delhivery,,2017,03,24,,Technology,24/03/2017,Tech Enabled Fulfilment & Logistics Solutions,New Delhi,"Carlyle Group, Tiger Global",100000000,Other,
1939,Sport Flashes,,2017,03,27,,Consumer Internet,27/03/2017,Sports Based Online Media Portal,New Delhi,"Vikas Bajaj, Amit Kharbanda,",0,,
1940,Fynd,,2017,03,28,,E-commerce,28/03/2017,Online Fashion Marketplace,Greater Mumbai,Venture Catalysts,500000,Other,
1941,Wigzo,,2017,03,28,,Technology,28/03/2017,Enterprise Automation Suite,New Delhi,3One4 Capital,0,,
1942,Donething,,2017,03,28,,Consumer Internet,28/03/2017,On-Demand Personal Assistant Service,Gurgaon,Brand Capital,300000,Other,
1943,Zapyle,,2017,03,29,,E-commerce,29/03/2017,Luxury Fashion Marketplace,Bangalore,Undisclosed Investors,0,,
1944,Ithaka,,2017,03,29,,Consumer Internet,29/03/2017,Vacation Trip Planning Platform,Greater Mumbai,"Ankit Gupta, Puneet Motihar",325000,Early stage,
1945,Perpule,,2017,03,29,,E-commerce,29/03/2017,Self-Checkout Ecommerce App,Bangalore,Kstart Capital,650000,Early stage,
1946,Byju’S,,2017,03,29,,Consumer Internet,29/03/2017,Online Education Platform,Bangalore,Verlinvest,0,,
1947,Licious,,2017,03,29,,E-commerce,29/03/2017,Online Meat Ordering Platform,Bangalore,"Mayfield India, 3One4 Capital, Sistema Asia Fund, Neoplux Technology Fund",10000000,Other,
1948,Medinfi,,2017,03,29,,Consumer Internet,29/03/2017,Doctor & Hospital Search Platform,Bangalore,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others",50000,Early stage,
1949,Indus Os,,2017,03,30,,Technology,30/03/2017,Mobile Os Creator,Greater Mumbai,"Jsw Ventures, Ventureast",0,,
1950,Emflux Motors,,2017,03,30,,Technology,30/03/2017,Electric Motorcycle Manufacturer,Bangalore,"Meher Roy, Nikhil Arora, Meet Kanodia, Krit Sankalp, Nitish Singh, Risabh Gupta",0,,
1951,Klinic App,,2017,03,30,,Consumer Internet,30/03/2017,Pathology & Diagnostic Tests Portal,Gurgaon,Om Chaudhry,0,,
1952,Jhakaas,,2017,03,31,,Consumer Internet,31/03/2017,Offline Business Aggregator App,Greater Mumbai,"Malini Patel, Stelcore Management Services, Anjani Prasad",155000,Early stage,
1953,Oriano Solar,,2017,03,31,,Technology,31/03/2017,Turnkey Solar Solutions,Greater Mumbai,Samridhi Fund,3000000,Other,
1954,Bigbasket,,2017,03,31,,E-commerce,31/03/2017,Online Grocer,Bangalore,Trifecta Capital,7000000,Other,
1955,Rooter,,2017,03,31,,Consumer Internet,31/03/2017,Sports Engagement Platform,New Delhi,Intex Technologies,0,,
1956,Falconbrick,,2017,03,31,,Technology,31/03/2017,Real-Estate Workflow Mobile App,Bangalore,"Satveer Thakral, Letsventure, Mumbai Angels",0,,
1957,Icertis,,2017,03,31,,Technology,31/03/2017,Erp Solutions Provider,Pune,"B Capital Group, Ignition Partners, Greycroft, E.Ventures,  Eight Roads Ventures",25000000,Other,
1958,Cashe,,2017,04,01,,Consumer Internet,01/04/2017,Online & Mobile Based Lending Platform,Greater Mumbai,"Mathew Cyriac, Florintree Advisors,",3800000,Other,
1959,Eruditus,,2017,04,03,,EdTech,03/04/2017,Executive Education Provider,Greater Mumbai,Bertelsmann India,8200000,Other,
1960,Testbook,,2017,04,03,,Consumer Internet,03/04/2017,Online Test Preparation Platform,Greater Mumbai,Matrix Partners India,0,,
1961,Healthcare At Home,,2017,04,03,,Health & Fitness,03/04/2017,Home Healthcare Provider,Noida,Quadria Capital Advisors,40000000,Other,
1962,Tyre Express,,2017,04,03,,Technology,03/04/2017,Enterprise Iot Solutions For Tyre Performance,Greater Mumbai,Rohitash Gupta,0,,
1963,Smartcoin,,2017,04,03,,Consumer Internet,03/04/2017,Micro Lending Platform,Bangalore,Unicorn India Ventures & Others,0,,
1964,Waycool,,2017,04,04,,Food & Beverages,04/04/2017,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,2700000,Other,
1965,Perfios,,2017,04,04,,Technology,04/04/2017,Fin-Tech Solutions,Bangalore,Bessemer Venture Partners,6100000,Other,
1966,Whatfix,,2017,04,04,,Technology,04/04/2017,Interactive Tech-Support Guides,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",3690000,Other,
1967,Elastirun,,2017,04,04,,Technology,04/04/2017,App Based Logistics & Distribution Platform,Pune,"Kalaari Capital, Norwest Venture Partners",7000000,Other,
1968,Trukky,,2017,04,04,,Consumer Internet,04/04/2017,Online Truck Aggregator & Booking Platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",500000,Early stage,
1969,Konsult App,,2017,04,04,,Consumer Internet,04/04/2017,App Based Doctor Consulting Platform,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo Van Den Bosch & Others",0,,
1970,Credit Sudhaar,,2017,04,05,,Consumer Internet,05/04/2017,Credit Score Improvement Platform,Greater Mumbai,"Deepak Kulkarni, Sandeep Pangal",0,,
1971,Fingerlix,,2017,04,05,,Consumer Internet,05/04/2017,Food Delivery Platform,Greater Mumbai,Zephyr Peacock India,3000000,Other,
1972,Dataweave,,2017,04,05,,Technology,05/04/2017,Business Intelligence Solutions,Bangalore,"Freakout Group, Blume Ventures, Herb Madan, Waterbridge Ventures",0,,
1973,Medwell Ventures,,2017,04,06,,Health & Fitness,06/04/2017,Home-Based Healthcare Provider,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",21000000,Other,
1974,Mech Mocha,,2017,04,06,,Consumer Internet,06/04/2017,Mobile Gaming Startup,Bangalore,"Accel Partners, Shunwei Capital",5000000,Other,
1975,Startup Buddy,,2017,04,07,,Consumer Internet,07/04/2017,Startup Support Platform,Gurgaon,"Youwecan Ventures,",0,,
1976,Qorqi,,2017,04,07,,Health & Fitness,07/04/2017,Online Healthcare Provider,Noida,Paytm,0,,
1977,Twenty Two Motors,,2017,04,07,,Technology,07/04/2017,Smart Scooter Manufacturer,Gurgaon,"Ishwar Singh,Farhaan Shabbir",0,,
1978,Pharmeasy,,2017,04,07,,E-commerce,07/04/2017,Online Pharmacy,Greater Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",18000000,Other,
1979,Fastfox,,2017,04,08,,Consumer Internet,08/04/2017,Online Rental Discovery Platform,Gurgaon,"Lightspeed India Partners, Blume Ventures, Cyberagent Ventures, Growx Ventures, Imj Investment Partners",4600000,Other,
1980,Omnify,,2017,04,10,,Technology,10/04/2017,Saas Platform For Smes,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",150000,Early stage,
1981,Capital Float,,2017,04,10,,Consumer Internet,10/04/2017,Online Lending Platform For Sme,Bangalore,Mahindra And Mahindra Financial Services,0,,
1982,Ninjacart,,2017,04,11,,E-commerce,11/04/2017,B2B Agri-Marketing Platform,Bangalore,"Accel Partners, Nandan Nilekani’S Nrjn Trust, Mistletoe, Qualcomm Ventures, M&S Partners",5500000,Other,
1983,Mergerware,,2017,04,11,,Technology,11/04/2017,Software Solutions For M&As,Bangalore,Philippe Bouchet,100000,Early stage,
1984,Sports Flashes,,2017,04,11,,Consumer Internet,11/04/2017,Online Sports Portal & Mobile App,New Delhi,"Sushil Kumar, Sandeep Singh",0,,
1985,Clovia,,2017,04,12,,E-commerce,12/04/2017,Online Lingerie & Sleepwear Etailer,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures And Ravi Dhariwal",4000000,Other,
1986,Emiza,,2017,04,12,,Logistics & Supply Chain,12/04/2017,Third Party Logistics Provider,Greater Mumbai,"Mayfield, Nishant Rao, Dileep Nath",4500000,Other,
1987,Hackerearth,,2017,04,12,,Consumer Internet,12/04/2017,Online Skill Assessment Platform,Bangalore,"Dhi Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, Bizreach",4500000,Other,
1988,Squadrun,,2017,04,12,,Technology,12/04/2017,Software-As-A-Service Platform,Noida,"Blume Ventures, Contrarian Capital, 91Springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",2100000,Other,
1989,Tinmen,,2017,04,12,,Consumer Internet,12/04/2017,Food Delivery Platform,Greater Hyderabad ,"Mape Advisory Group, R Ramaraj, Corvus Ventures",0,,
1990,Scoutmytrip,,2017,04,12,,Consumer Internet,12/04/2017,Online Travel Planner,Greater Mumbai,Z Nation Lab,0,,
1991,Safetykart,,2017,04,13,,E-commerce,13/04/2017,Safety & Hygiene Products Etailer,Gurgaon,Redcliffe Capital,0,,
1992,Weareholidays,,2017,04,13,,Consumer Internet,13/04/2017,Travel Packages & Planner Marketplace,Gurgaon,"Urrshila Kerkar,",7700000,Other,
1993,Ola Cabs,,2017,04,14,,Consumer Internet,14/04/2017,Cab Aggregator App,Bangalore,Simi Pacific Pte,260000000,Other,
1994,Myly,,2017,04,15,,Consumer Internet,15/04/2017,Mobile App For Schools,Jaipur,Mall Industries Development Bank Of India (Sidbi),310000,Early stage,
1995,Credihealth,,2017,04,17,,Consumer Internet,17/04/2017,Online Medical Assistance Platform,Gurgaon,"Tolaram Inc, Mountain Pine Capital",1500000,Other,
1996,Navia Life Care,,2017,04,17,,Technology,17/04/2017,Health Technology Platform,New Delhi,Benori Ventures Llp,0,,
1997,Raw Pressery,,2017,04,17,,Food & Beverages,17/04/2017,Raw Pressed Juices Manufacturer,Greater Mumbai,Jacqueline Fernandez,0,,
1998,Snackible,,2017,04,17,,Food & Beverages,17/04/2017,Healthy Snacks Manufacturer,Greater Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",175000,Early stage,
1999,Be U Salons,,2017,04,17,,Consumer Internet,17/04/2017,Online Salon Discovery & Booking Services,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",620000,Early stage,
2000,Simulanis,,2017,04,17,,Consumer Internet,17/04/2017,Elearning & Skills Development Plat,New Delhi,Village Capital,0,,
2001,Lendingkart,,2017,04,17,,Consumer Internet,17/04/2017,Lending Platform For Small Businesses,Ahmedabad,Anicut Capital,4650000,Other,
2002,Innefu Security Consulting,,2017,04,18,,Technology,18/04/2017,Cyber Security Solutions Using Ai,New Delhi,Indianivesh Venture Capital Fund,2000000,Other,
2003,Whodat,,2017,04,18,,Technology,18/04/2017,Markerless Ar Platform,Bangalore,Ideaspring Capital,600000,Other,
2004,Absentia Vr,,2017,04,18,,Technology,18/04/2017,Virtual Reality Startup,Bangalore,Exfinity Venture Partners,1250000,Other,
2005,Iotrek,,2017,04,19,,Technology,19/04/2017,Iot Platform For Bus,New Delhi,Undisclosed Investor,155000,Early stage,
2006,Holachef,,2017,04,20,,Consumer Internet,20/04/2017,Online Food Delivery,Greater Mumbai,"Sidbi Venture Capital Ltd, Kalaari Capital",3000000,Other,
2007,Wooplr,,2017,04,20,,E-commerce,20/04/2017,Social Commerce  Fashion Platform,Bangalore,Ankit Nagori,0,,
2008,Video Ken,,2017,04,21,,Consumer Internet,21/04/2017,Video Based Collaborative Learning,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, Lg Chandrasekhar, Sashi Reddi",1000000,Early stage,
2009,Faasos,,2017,04,24,,Food & Beverages,24/04/2017,Qsr Chain And Online Food Delivery,Pune,"Ligthbox Ventures Ii, Lightbox Expansion Fund, Sequoia Capital India, Runet South Asia, Rb Investments",6300000,Other,
2010,Oyo Rooms,,2017,04,24,,Consumer Internet,24/04/2017,Branded Budget Hotels Aggregator,Gurgaon,"Softbank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",250000000,Other,
2011,Toppr,,2017,04,24,,Consumer Internet,24/04/2017,Learning Mobile App For Students,Greater Mumbai,Wgg International,3200000,Other,
2012,Niramai,,2017,04,24,,Health & Fitness,24/04/2017,Breast Cancer Screening Solutions,Bangalore,"Pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",0,,
2013,The Office Pass,,2017,04,25,,Consumer Internet,25/04/2017,Coworking Spaces Booking Platform,Gurgaon,"Arun Tadanki, Aditya Verma",245000,Early stage,
2014,Urbanclap,,2017,04,25,,Consumer Internet,25/04/2017,Mobile Services Marketplace,Gurgaon,Trifecta Capital,3100000,Other,
2015,Awfis,,2017,04,26,,Consumer Internet,26/04/2017,Collaborative Co-Working Spaces,Greater Mumbai,Sequoia India,20000000,Other,
2016,Myra,,2017,04,26,,Consumer Internet,26/04/2017,Online Pharmacy,Bangalore,"Times Internet,Matrix Partners",0,,
2017,Flytxt,,2017,04,26,,Technology,26/04/2017,Customer Data Analytics Software,Greater Mumbai,Dah Beteiligungs Gmbh,11000000,Other,
2018,Howdy Ventures,,2017,04,26,,Consumer Internet,26/04/2017,Public And Private Events Creation App,Chennai,S. Xavier Britto,1500000,Early stage,
2019,Stalkbuylove,,2017,04,26,,E-commerce,26/04/2017,Online Fashion Marketplace,New Delhi,Trifecta Capital,1000000,Other,
2020,Zipgo,,2017,04,26,,Consumer Internet,26/04/2017,Bus Pooling Services Platform,Bangalore,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",0,,
2021,Scootsy,,2017,04,27,,Consumer Internet,27/04/2017,On-Demand Food Delivery,Greater Mumbai,"Agnus Capital, Khattar Holdings",3600000,Other,
