,Startup Name,Founder(s),Funding Year,Funding Month,Funding Day,Founding Date,Industry/Vertical,Funding Date,Sub-Vertical,City,Investor(s),Investment Amount (USD),Investment Type,Remarks
54,Chloroplast Foods,,2015,02,02,,Other,02/02/2015,,,Group Of Angel Investors,16600,Early stage,At the 10 minute million event
55,Dealwithus,,2015,02,02,,Other,02/02/2015,,,Group Of Angel Investors,16600,Early stage,At the 10 minute million event
56,Cleversharks,,2015,02,02,,Other,02/02/2015,,,Group Of Angel Investors,16600,Early stage,At the 10 minute million event
57,Leaf,,2015,02,02,,Other,02/02/2015,,,Group Of Angel Investors,16600,Early stage,At the 10 minute million event
58,Smartpocket,,2015,02,02,,Other,02/02/2015,,,"Sol Primero, Rajiv Mehta",250000,Early stage,For mobile app
59,Yumist,,2015,02,02,,Other,02/02/2015,,,Orios Venture Partner,1000000,Other,
60,Nowfloats,,2015,02,02,,Other,02/02/2015,,,Omidyar Network,0,,Series A
61,Firstcry,,2015,02,02,,Other,02/02/2015,,,Valiant Capital Partners,26000000,Other,Series D
62,Holachef,,2015,02,02,,Other,02/02/2015,,,India Quotient,325000,Early stage,
63,Frsh.Co.In,,2015,02,03,,Other,03/02/2015,,,"India Quotient, Kae Capital",0,,
64,Manthan,,2015,02,03,,Other,03/02/2015,,,"Temasek, Norwest Venture Partners",60000000,Other,Series D
65,Kobster.Com,,2015,02,05,,Other,05/02/2015,,,Splice Advisors,0,,
66,Culture Machine,,2015,02,05,,Other,05/02/2015,,,"Tiger Global, Times Internet, Zodius Capital",18000000,Other,Series B
67,Paytm,,2015,02,05,,Other,05/02/2015,,,Ant Financial Services (Alipay),0,,Strategic Investment (25% stake)
68,Aisle.Co,,2015,02,05,,Other,05/02/2015,,,"Anand Vijay, Shashank Mehrotra & Others",100000,Early stage,
69,Freecharge,,2015,02,06,,Other,06/02/2015,,,"Valiant Capital, Tybourne Capital, Sequoia Capital, Runet And Sofina",80000000,Other,Series C
70,Newshunt,,2015,02,06,,Other,06/02/2015,,,"Falcon Edge Capital, Matrix Partners India, Sequoia Capital India And Omidyar Network",40000000,Other,Series C
71,Mynoticeperiod,,2015,02,09,,Other,09/02/2015,,,Idg Ventures,3000000,Other,Series A
72,Cardekho.Com,,2015,02,09,,Other,09/02/2015,,,Ratan Tata,0,,
73,Cartrade.Com,,2015,02,10,,Other,10/02/2015,,,Chip Perry,0,,
74,Storeking,,2015,02,10,,Other,10/02/2015,,,Mangrove Capital Partners,0,,
75,Capital Float,,2015,02,11,,Other,11/02/2015,,,"Saif Partners, Sequoia Capital, Aspada",0,,Series A
76,Nimble Wireless,,2015,02,11,,Other,11/02/2015,,,Angelprime,3000000,Early stage,
77,Townscript,,2015,02,11,,Other,11/02/2015,,,Group Of Angel Investors,0,,
78,Findyahan,,2015,02,11,,Other,11/02/2015,,,"Karan Bajwa, Parvesh Bareja , Sunjay Kapur, Amanpreet Bajaj",0,,
79,Stayzilla,,2015,02,12,,Other,12/02/2015,,,"Nexus Venture Partners, Matrix Partners",20000000,Other,Series B
80,Practo,,2015,02,12,,Other,12/02/2015,,,"Sequoia Capital, Matrix Partners",30000000,Other,Series B
81,Cimplyfive,,2015,02,13,,Other,13/02/2015,,,"Suresh Senapaty, Tv Mohandas Pai",0,,
