,Startup Name,Founding Date,Founder(s),Founder Gender,Industry/Vertical,City,Investor(s),Funding Date,Investment Type,Investment Amount (USD),Yearly GDP (% Growth),Unicorn Company,Valuation (B USD)
26,Healthyworld.In,,,,Other,,Group Of Angel Investors,19/01/2015,Early stage,200000,8.0,,
27,Hostel Dunia,,,,Other,,Hyderabad Angels (At Startup Heroes Event),19/01/2015,Early stage,16000,8.0,,
28,Play Your Sport,,,,Other,,Hyderabad Angels (At Startup Heroes Event),19/01/2015,Early stage,16000,8.0,,
29,Yo Grad,,,,Other,,Hyderabad Angels (At Startup Heroes Event),19/01/2015,Early stage,16000,8.0,,
30,Enabli,,,,Other,,Hyderabad Angels (At Startup Heroes Event),19/01/2015,Early stage,16000,8.0,,
31,Cbs,,,,Other,,Hyderabad Angels (At Startup Heroes Event),19/01/2015,Early stage,16000,8.0,,
32,Hopscotch,,,,Other,,Eduardo Saverin & Velos Capital,20/01/2015,Other,11000000,8.0,,
33,Amagi Media Labs,,,,Other,,Premji Invest & Mayfield Fund,20/01/2015,,0,8.0,Yes,1.0
34,Healthyworld.In,,,,Other,,Group Of Angel Investors,20/01/2015,Early stage,200000,8.0,,
35,Simplilearn,,,,Other,,"Mayfield India, Kalaari Capital, Helion Ventures",21/01/2015,Other,14750000,8.0,,
36,Mydreamstore,,,,Other,,Undisclosed Investors,21/01/2015,Early stage,325000,8.0,,
37,Corporate360,,,,Other,,Group Of Angel Investors,22/01/2015,Early stage,200000,8.0,,
38,Freshmonk,,,,Other,,"August Capital Partners, Michael Blakey",22/01/2015,,0,8.0,,
39,Englishleap.Com,,,,Other,,Analec,22/01/2015,,0,8.0,,
40,Antuit,,,,Other,,"Goldman Sachs, Zodius Capital",22/01/2015,Other,56000000,8.0,,
41,Caratlane.Com,,,,Other,,Tiger Global,22/01/2015,Other,31000000,8.0,,
42,Aasaanjobs,,,,Other,,"Inventus Capital Partners, Idg Ventures",24/01/2015,Early stage,1500000,8.0,,
43,Impartus,,,,Other,,Kaizen Private Equity,24/01/2015,,0,8.0,,
44,Thrill App,,,,Other,,People Group (Shaadi.Com),25/01/2015,Other,1000000,8.0,,
45,Cardekho.Com,,,,Other,,"Hillhouse Capital, Tybourne Capital",27/01/2015,Other,50000000,8.0,,
46,Grabhouse.Com,,,,Other,,"Kalaari Capital, Sequoia Capital",28/01/2015,Other,2500000,8.0,,
